Year,Visa Grant Rate %,Number Of Students
2013,93.40%,245531
2014,92.00%,247093
2015,90.70%,269752
2016,91.50%,292352
2017,90.50%,327606
2018,89.90%,371885
2019,91.40%,420501
2020,94.40%,463643
2021,91.50%,429382
2022,86.00%,363859
