University,International Students
RMIT University,26590
Monash University,22140
Curtin University,15598
University of Melbourne,14166
University of New South Wales,13132
University of Wollongong,12360
University of Sydney,12278
University of Queensland,11519
Macquarie University,10069
University of Technology Sydney,10054
