state,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NSW,1045615,1143128,1221072,1315329,1441725,1695944,1995746,2259253,2209837,1995986,1838343,1817575,1996704,2219330,2478788,2836895,3175622,3476505,3403288,2818452,2740222
VIC,727333,835189,896955,949261,1042120,1270629,1521460,1830716,1802757,1592763,1447805,1443616,1627655,1834869,2080655,2402882,2681468,2949359,2881322,2355125,2106668
QLD,"413,395",477125,519633,538856,578738,629709,761687,944725,980617,888584,813313,802586,886670,944208,1022272,1142573,1253485,1363021,1299622,1023814,970406
SA,108873,135699,154884,179518,203562,232623,265678,326030,346493,316314,284711,279305,297865,312450,336344,354065,377593,428724,465876,423154,413226
WA,263669,298161,307151,313117,320121,338788,388668,476890,486684,442844,406112,400423,427677,465805,514593,517174,498699,511868,507154,423234,407640
TAS,27122,30546,33737,37413,40880,42963,46213,51940,52783,49409,48753,48107,46044,53818,61965,85111,107717,145796,163599,143780,124643
NT,5726,4909,4174,4008,4582,5523,6944,9439,12030,12579,13713,15417,17961,21154,23608,25896,27440,34721,47911,46736,41047
ACT,50926,61405,63404,65631,66729,70278,78432,95812,114067,115927,112178,109945,120808,126210,140853,164393,193564,192944,179135,176223,179326
NAT,0,0,0,0,0,0,0,0,30,168,560,2843,5396,1146,132,12,0,0,0,0,0
