Year,New Zealand,Australia
2013,348685,245531
2014,347645,247093
2015,350440,269752
2016,353120,292352
2017,346045,327606
2018,340710,371885
2019,335365,420501
2020,328250,463643
2021,345005,429382
2022,329690,363859
